date,expected_value,preliminary_value,name,confirmed_value
160229,,,,
160229,0,-200,銀行券要因,
160229,4600,3600,財政等要因,
160229,4600,3400,資金過不足,
160229,,, ,
160229,,, ,
160229,,, ,
160229,,, ,
160229,,, ,
160229,,, ,
160229,700,700, ,
160229,,, ,
160229,,, ,
160229,4000,4000, ,
160229,,, ,
160229,300,300, ,
160229,,, ,
160229,,, ,
160229,,, ,
160229,,, ,
160229,+600,+600, ,
160229,,, ,
160229,,, ,
160229,+0,+0, ,
160229,+600,+600,合計,
160229,+5200,+4000,当座預金増減,
160229,,2589900,当座預金残高,
160229,,2346000, ,
160229,,1901500, ,
160229,,1900800, ,
160229,,243900, ,
160229,,,マネタリーベース,
160229,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,1917300
160229,,積み期間（2/16～3/15日）の所要準備額（1日平均）,積み期間（2/16～3/15日）の所要準備額（1日平均）,66100
160229,,3/1日以降の残り要積立額（積数）,3/1日以降の残り要積立額（積数）,4100
160229,,3/1日以降の残り要積立額（１日平均）,3/1日以降の残り要積立額（１日平均）,300
