date,expected_value,preliminary_value,name,confirmed_value
160531,,,,
160531,900,900,銀行券要因,
160531,-9200,-7500,財政等要因,
160531,-8300,-6600,資金過不足,
160531,5400,5400, ,
160531,20000,20000, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,4500,4500, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,,, ,
160531,500,500, ,
160531,+28100,+27700, ,
160531,,, ,
160531,,, ,
160531,+0,+0, ,
160531,+28100,+27700,合計,
160531,+19800,+21100,当座預金増減,
160531,,2867900,当座預金残高,
160531,,2577300, ,
160531,,2128800, ,
160531,,2128800, ,
160531,,290600, ,
160531,,,マネタリーベース,
160531,,積み期間（5/16～6/15日）の所要準備額（積数）,積み期間（5/16～6/15日）の所要準備額（積数）,2129200
160531,,積み期間（5/16～6/15日）の所要準備額（1日平均）,積み期間（5/16～6/15日）の所要準備額（1日平均）,68700
160531,,6/1日以降の残り要積立額（積数）,6/1日以降の残り要積立額（積数）,8300
160531,,6/1日以降の残り要積立額（１日平均）,6/1日以降の残り要積立額（１日平均）,600
