date,expected_value,preliminary_value,name,confirmed_value
160414,,,,
160414,-800,-800,銀行券要因,
160414,1700,-400,財政等要因,
160414,900,-1200,資金過不足,
160414,,, ,
160414,,, ,
160414,,, ,
160414,,, ,
160414,,, ,
160414,,, ,
160414,,, ,
160414,,, ,
160414,,, ,
160414,-300,-300, ,
160414,,, ,
160414,200,200, ,
160414,,, ,
160414,,, ,
160414,,, ,
160414,1000,1000, ,
160414,+900,+300, ,
160414,,, ,
160414,,, ,
160414,+0,+0, ,
160414,+900,+300,合計,
160414,+1800,-900,当座預金増減,
160414,,2769900,当座預金残高,
160414,,2495600, ,
160414,,2049300, ,
160414,,2049200, ,
160414,,274300, ,
160414,,,マネタリーベース,
160414,,積み期間（3/16～4/15日）の所要準備額（積数）,積み期間（3/16～4/15日）の所要準備額（積数）,2072100
160414,,積み期間（3/16～4/15日）の所要準備額（1日平均）,積み期間（3/16～4/15日）の所要準備額（1日平均）,66800
160414,,4/15日以降の残り要積立額（積数）,4/15日以降の残り要積立額（積数）,0
160414,,4/15日以降の残り要積立額（１日平均）,4/15日以降の残り要積立額（１日平均）,0
