date,expected_value,preliminary_value,name,confirmed_value
160215,,,,
160215,800,900,銀行券要因,
160215,47200,44500,財政等要因,
160215,48000,45400,資金過不足,
160215,9700,9700, ,
160215,,, ,
160215,,, ,
160215,,, ,
160215,,, ,
160215,,, ,
160215,-1100,-1100, ,
160215,,, ,
160215,,, ,
160215,-600,-600, ,
160215,,, ,
160215,,, ,
160215,,, ,
160215,,, ,
160215,,, ,
160215,200,200, ,
160215,+8200,+8200, ,
160215,,, ,
160215,,, ,
160215,+0,+0, ,
160215,+8200,+8200,合計,
160215,+56200,+53600,当座預金増減,
160215,,2564600,当座預金残高,
160215,,2332700, ,
160215,,1882100, ,
160215,,1881500, ,
160215,,231900, ,
160215,,,マネタリーベース,
160215,,積み期間（1/16～2/15日）の所要準備額（積数）,積み期間（1/16～2/15日）の所要準備額（積数）,2060000
160215,,積み期間（1/16～2/15日）の所要準備額（1日平均）,積み期間（1/16～2/15日）の所要準備額（1日平均）,66500
