date,expected_value,preliminary_value,name,confirmed_value
160817,,,,
160817,100,200,銀行券要因,
160817,1400,1300,財政等要因,
160817,1500,1500,資金過不足,
160817,,,国債買入,
160817,,,国庫短期証券買入,
160817,,,国庫短期証券売却,
160817,,,国債買現先,
160817,,,国債売現先,
160817,,,共通担保資金供給（本店）,
160817,,,共通担保資金供給（全店）,
160817,,,ＣＰ買現先,
160817,,,手形売出,
160817,-200,-200,ＣＰ等買入,
160817,,,社債等買入,
160817,,,ＥＴＦ買入,
160817,,,Ｊ-ＲＥＩＴ買入,
160817,,,被災地金融機関支援資金供給等,
160817,,,貸出,
160817,300,300,国債補完供給,
160817,,-200,-200,
160817,+100,-100,小計（除く貸出支援基金）,
160817,,,成長基盤強化支援資金供給,
160817,,,貸出増加支援資金供給,
160817,+0,+0,小計（貸出支援基金）,
160817,+100,-100,合計,
160817,+1600,+1400,当座預金増減,
160817,,3038400,当座預金残高,
160817,,2739900,準備預金残高,
160817,,2155000,積み終了先,
160817,,1954600,超過準備,
160817,,298500,非準預先残高,
160817,,,マネタリーベース,
160817,,積み期間（8/16～9/15日）の所要準備額（積数）,積み期間（8/16～9/15日）の所要準備額（積数）,2142600
160817,,積み期間（8/16～9/15日）の所要準備額（１日平均）,積み期間（8/16～9/15日）の所要準備額（１日平均）,69100
160817,,8/18日以降の残り要積立額（積数）,8/18日以降の残り要積立額（積数）,195700
160817,,8/18日以降の残り要積立額（１日平均）,8/18日以降の残り要積立額（１日平均）,6700
