date,expected_value,preliminary_value,name,confirmed_value
160302,,,,
160302,100,100,銀行券要因,
160302,-49000,-52300,財政等要因,
160302,-48900,-52200,資金過不足,
160302,13400,13400, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,-400,-400, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,,, ,
160302,200,200, ,
160302,+13200,+13200, ,
160302,,, ,
160302,,, ,
160302,+0,+0, ,
160302,+13200,+13200,合計,
160302,-35700,-39000,当座預金増減,
160302,,2553700,当座預金残高,
160302,,2300300, ,
160302,,1862100, ,
160302,,1862000, ,
160302,,253400, ,
160302,,,マネタリーベース,
160302,,積み期間（2/16～3/15日）の所要準備額（積数）,積み期間（2/16～3/15日）の所要準備額（積数）,1917300
160302,,積み期間（2/16～3/15日）の所要準備額（1日平均）,積み期間（2/16～3/15日）の所要準備額（1日平均）,66100
160302,,3/3日以降の残り要積立額（積数）,3/3日以降の残り要積立額（積数）,2300
160302,,3/3日以降の残り要積立額（１日平均）,3/3日以降の残り要積立額（１日平均）,200
