date,expected_value,preliminary_value,name,confirmed_value
160905,,,,
160905,1400,1400,銀行券要因,
160905,-9500,-9200,財政等要因,
160905,-8100,-7800,資金過不足,
160905,,,国債買入,
160905,,,国庫短期証券買入,
160905,,,国庫短期証券売却,
160905,,,国債買現先,
160905,,,国債売現先,
160905,,,共通担保資金供給（本店）,
160905,1700,1700,共通担保資金供給（全店）,
160905,-1900,-1900,"-1,900",
160905,,,ＣＰ買現先,
160905,,,手形売出,
160905,-300,-300,ＣＰ等買入,
160905,-100,-100,社債等買入,
160905,,,ＥＴＦ買入,
160905,,,Ｊ-ＲＥＩＴ買入,
160905,,,被災地金融機関支援資金供給等,
160905,,,貸出,
160905,200,200,国債補完供給,
160905,,-300,-300,
160905,-400,-700,小計（除く貸出支援基金）,
160905,-100,-100,成長基盤強化支援資金供給,
160905,,,貸出増加支援資金供給,
160905,-100,-100,小計（貸出支援基金）,
160905,-500,-800,合計,
160905,-8600,-8600,当座預金増減,
160905,,3003600,当座預金残高,
160905,,2712700,準備預金残高,
160905,,2254400,積み終了先,
160905,,2254400,超過準備,
160905,,290900,非準預先残高,
160905,,,マネタリーベース,
160905,,積み期間（8/16～9/15日）の所要準備額（積数）,積み期間（8/16～9/15日）の所要準備額（積数）,2141700
160905,,積み期間（8/16～9/15日）の所要準備額（１日平均）,積み期間（8/16～9/15日）の所要準備額（１日平均）,69100
160905,,9/6日以降の残り要積立額（積数）,9/6日以降の残り要積立額（積数）,3400
160905,,9/6日以降の残り要積立額（１日平均）,9/6日以降の残り要積立額（１日平均）,300
