date,expected_value,preliminary_value,name,confirmed_value
160322,,,,
160322,-300,-100,銀行券要因,
160322,43100,39700,財政等要因,
160322,42800,39600,資金過不足,
160322,,, ,
160322,,, ,
160322,,, ,
160322,3900,3900, ,
160322,,, ,
160322,,, ,
160322,4800,4800, ,
160322,,, ,
160322,,, ,
160322,-800,-800, ,
160322,-300,-300, ,
160322,200,200, ,
160322,,, ,
160322,,, ,
160322,,, ,
160322,2300,2300, ,
160322,-1100,-3000, ,
160322,,, ,
160322,,, ,
160322,+0,+0, ,
160322,-1100,-3000,合計,
160322,+41700,+36600,当座預金増減,
160322,,2655500,当座預金残高,
160322,,2411800, ,
160322,,1943000, ,
160322,,1943000, ,
160322,,243700, ,
160322,,,マネタリーベース,
160322,,積み期間（3/16～4/15日）の所要準備額（積数）,積み期間（3/16～4/15日）の所要準備額（積数）,2047100
160322,,積み期間（3/16～4/15日）の所要準備額（1日平均）,積み期間（3/16～4/15日）の所要準備額（1日平均）,66000
160322,,3/23日以降の残り要積立額（積数）,3/23日以降の残り要積立額（積数）,58500
160322,,3/23日以降の残り要積立額（１日平均）,3/23日以降の残り要積立額（１日平均）,2400
