date,expected_value,preliminary_value,name,confirmed_value
160428,,,,
160428,-4100,-4300,銀行券要因,
160428,7400,4900,財政等要因,
160428,3300,600,資金過不足,
160428,9300,9300, ,
160428,,, ,
160428,,, ,
160428,,, ,
160428,,, ,
160428,,, ,
160428,100,100, ,
160428,,, ,
160428,,, ,
160428,4000,4000, ,
160428,-300,-300, ,
160428,,, ,
160428,,, ,
160428,,, ,
160428,,, ,
160428,100,100, ,
160428,+4600,+4300, ,
160428,,, ,
160428,,, ,
160428,+0,+0, ,
160428,+4600,+4300,合計,
160428,+7900,+4900,当座預金増減,
160428,,2844100,当座預金残高,
160428,,2545700, ,
160428,,2091600, ,
160428,,2091300, ,
160428,,298400, ,
160428,,,マネタリーベース,
160428,,積み期間（4/16～5/15日）の所要準備額（積数）,積み期間（4/16～5/15日）の所要準備額（積数）,2046800
160428,,積み期間（4/16～5/15日）の所要準備額（1日平均）,積み期間（4/16～5/15日）の所要準備額（1日平均）,68200
160428,,5/2日以降の残り要積立額（積数）,5/2日以降の残り要積立額（積数）,2400
160428,,5/2日以降の残り要積立額（１日平均）,5/2日以降の残り要積立額（１日平均）,200
