date,expected_value,preliminary_value,name,confirmed_value
160621,,,,
160621,-800,-1000,銀行券要因,
160621,-5100,-6500,財政等要因,
160621,-5900,-7500,資金過不足,
160621,,,国債買入,
160621,17600,17600,国庫短期証券買入,
160621,,,国庫短期証券売却,
160621,,,国債買現先,
160621,,,国債売現先,
160621,,,共通担保資金供給（本店）,
160621,,,共通担保資金供給（全店）,
160621,,,ＣＰ買現先,
160621,,,手形売出,
160621,-300,-300,ＣＰ等買入,
160621,-100,-100,社債等買入,
160621,100,100,ＥＴＦ買入,
160621,,,Ｊ-ＲＥＩＴ買入,
160621,,,被災地金融機関支援資金供給等,
160621,,,貸出,
160621,300,300,国債補完供給,
160621,,-300,-300,
160621,+17600,+17300,小計（除く貸出支援基金）,
160621,,,成長基盤強化支援資金供給,
160621,,,貸出増加支援資金供給,
160621,+0,+0,小計（貸出支援基金）,
160621,+17600,+17300,合計,
160621,+11700,+9800,当座預金増減,
160621,,3016800,当座預金残高,
160621,,2724700,準備預金残高,
160621,,2228100,積み終了先,
160621,,2228000,超過準備,
160621,,292100,非準預先残高,
160621,,,マネタリーベース,
160621,,積み期間（6/16～7/15日）の所要準備額（積数）,積み期間（6/16～7/15日）の所要準備額（積数）,2064500
160621,,積み期間（6/16～7/15日）の所要準備額（１日平均）,積み期間（6/16～7/15日）の所要準備額（１日平均）,68800
160621,,6/22日以降の残り要積立額（積数）,6/22日以降の残り要積立額（積数）,20000
160621,,6/22日以降の残り要積立額（１日平均）,6/22日以降の残り要積立額（１日平均）,800
