date,expected_value,preliminary_value,name,confirmed_value
160706,,,,
160706,500,400,銀行券要因,
160706,-1500,-1100,財政等要因,
160706,-1000,-700,資金過不足,
160706,4400,4400,国債買入,
160706,,,国庫短期証券買入,
160706,,,国庫短期証券売却,
160706,,,国債買現先,
160706,,,国債売現先,
160706,,,共通担保資金供給（本店）,
160706,,,共通担保資金供給（全店）,
160706,,,ＣＰ買現先,
160706,,,手形売出,
160706,-400,-400,ＣＰ等買入,
160706,,,社債等買入,
160706,300,300,ＥＴＦ買入,
160706,,,Ｊ-ＲＥＩＴ買入,
160706,,,被災地金融機関支援資金供給等,
160706,,,貸出,
160706,100,100,国債補完供給,
160706,,-100,-100,
160706,+4400,+4300,小計（除く貸出支援基金）,
160706,,,成長基盤強化支援資金供給,
160706,,,貸出増加支援資金供給,
160706,+0,+0,小計（貸出支援基金）,
160706,+4400,+4300,合計,
160706,+3400,+3600,当座預金増減,
160706,,3053800,当座預金残高,
160706,,2754300,準備預金残高,
160706,,2278000,積み終了先,
160706,,2277800,超過準備,
160706,,299500,非準預先残高,
160706,,,マネタリーベース,
160706,,積み期間（6/16～7/15日）の所要準備額（積数）,積み期間（6/16～7/15日）の所要準備額（積数）,2064300
160706,,積み期間（6/16～7/15日）の所要準備額（１日平均）,積み期間（6/16～7/15日）の所要準備額（１日平均）,68800
160706,,7/7日以降の残り要積立額（積数）,7/7日以降の残り要積立額（積数）,600
160706,,7/7日以降の残り要積立額（１日平均）,7/7日以降の残り要積立額（１日平均）,100
