date,expected_value,preliminary_value,name,confirmed_value
170111,,,,
170111,4000,4300,銀行券要因,
170111,-14000,-13800,財政等要因,
170111,-10000,-9500,資金過不足,
170111,5000,5000,国債買入,
170111,,,国庫短期証券買入,
170111,,,国庫短期証券売却,
170111,,,国債買現先,
170111,,,国債売現先,
170111,,,共通担保資金供給（本店）,
170111,,,共通担保資金供給（全店）,
170111,,,ＣＰ買現先,
170111,,,手形売出,
170111,-200,-200,ＣＰ等買入,
170111,,,社債等買入,
170111,700,700,ＥＴＦ買入,
170111,,,Ｊ-ＲＥＩＴ買入,
170111,,,被災地金融機関支援資金供給等,
170111,,,貸出,
170111,200,200,国債補完供給,
170111,,-200,-200,
170111,,,米ドル資金供給用担保国債供給,
170111,+5700,+5500,小計（除く貸出支援基金）,
170111,,,成長基盤強化支援資金供給,
170111,,,貸出増加支援資金供給,
170111,+0,+0,小計（貸出支援基金）,
170111,+5700,+5500,合計,
170111,-4300,-4000,当座預金増減,
170111,,3292800,当座預金残高,
170111,,2967200,準備預金残高,
170111,,2485700,積み終了先,
170111,,2485600,超過準備,
170111,,325600,非準預先残高,
170111,,,マネタリーベース,
170111,,積み期間（12/16～1/15日）の所要準備額（積数）,積み期間（12/16～1/15日）の所要準備額（積数）,2222400
170111,,積み期間（12/16～1/15日）の所要準備額（１日平均）,積み期間（12/16～1/15日）の所要準備額（１日平均）,71700
170111,,1/12日以降の残り要積立額（積数）,1/12日以降の残り要積立額（積数）,100
170111,,1/12日以降の残り要積立額（１日平均）,1/12日以降の残り要積立額（１日平均）,0
