date,expected_value,preliminary_value,name,confirmed_value
170125,,,,
170125,100,100,銀行券要因,
170125,5800,6100,財政等要因,
170125,5900,6200,資金過不足,
170125,5000,5000,国債買入,
170125,,,国庫短期証券買入,
170125,,,国庫短期証券売却,
170125,,,国債買現先,
170125,,,国債売現先,
170125,,,共通担保資金供給（本店）,
170125,,,共通担保資金供給（全店）,
170125,,,ＣＰ買現先,
170125,,,手形売出,
170125,-400,-400,ＣＰ等買入,
170125,,,社債等買入,
170125,100,100,ＥＴＦ買入,
170125,,,Ｊ-ＲＥＩＴ買入,
170125,,,被災地金融機関支援資金供給等,
170125,,,貸出,
170125,,-100,国債補完供給,
170125,,,米ドル資金供給用担保国債供給,
170125,+4700,+4600,小計（除く貸出支援基金）,
170125,,,成長基盤強化支援資金供給,
170125,,,貸出増加支援資金供給,
170125,+0,+0,小計（貸出支援基金）,
170125,+4700,+4600,合計,
170125,+10600,+10800,当座預金増減,
170125,,3305100,当座預金残高,
170125,,2954100,準備預金残高,
170125,,2474700,積み終了先,
170125,,2474700,超過準備,
170125,,351000,非準預先残高,
170125,,,マネタリーベース,
170125,,積み期間（1/16～2/15日）の所要準備額（積数）,積み期間（1/16～2/15日）の所要準備額（積数）,2229500
170125,,積み期間（1/16～2/15日）の所要準備額（１日平均）,積み期間（1/16～2/15日）の所要準備額（１日平均）,71900
170125,,1/26日以降の残り要積立額（積数）,1/26日以降の残り要積立額（積数）,12100
170125,,1/26日以降の残り要積立額（１日平均）,1/26日以降の残り要積立額（１日平均）,600
